keyword,target,intent,totalVol,comp,score
"디퓨저",입문,정보,35600,"중간",21360
"집들이선물",선물,정보,50900,"높음",15270
"판도라팔찌",입문,정보,43640,"높음",13092
"집들이선물추천",선물,정보,34570,"높음",10371
"캘리그라피",입문,정보,32620,"높음",9786
"상견례선물",선물,정보,26330,"높음",7899
"반지공방",입문,거래,25070,"높음",7521
"은반지",입문,정보,21820,"높음",6546
"원데이클래스",입문,거래,20160,"높음",6048
"디퓨져",입문,정보,9890,"중간",5934
"서울데이트",커플,정보,19460,"높음",5838
"실내데이트",커플,정보,17900,"높음",5370
"DIY",입문,상업,7990,"중간",4794
"비즈팔찌",입문,정보,14930,"높음",4479
"생일선물",선물,정보,14620,"높음",4386
"키링고리",입문,정보,7310,"중간",4386
"향초",입문,정보,7250,"중간",4350
"도자기공방",입문,거래,14320,"높음",4296
"비즈목걸이",입문,정보,13600,"높음",4080
"임산부선물",선물,정보,13070,"높음",3921
"차량용디퓨저",입문,정보,6280,"중간",3768
"퇴사선물",선물,정보,11810,"높음",3543
"원석팔찌",입문,정보,10960,"높음",3288
"부채만들기",입문,상업,5170,"중간",3102
"폴리머클레이",입문,정보,4980,"중간",2988
"캔들",입문,정보,9890,"높음",2967
"아기돌선물",선물,정보,9610,"높음",2883
"남자친구생일선물",선물,정보,9440,"높음",2832
"한우선물세트",선물,정보,9420,"높음",2826
"실내디퓨저",입문,정보,9340,"높음",2802
"이사선물",선물,정보,5520,"���음",2760
"테라리움만들기",입문,상업,4560,"중간",2736
"결혼기념일선물",커플,정보,9010,"높음",2703
"가죽가방",입문,정보,8570,"높음",2571
"비즈공예재료",입문,상업,8540,"높음",2562
"과일선물세트",선물,정보,8180,"높음",2454
"향수공방",입문,거래,8060,"높음",2418
"어린이집생일선물",선물,정보,7960,"높음",2388
"서울반지공방",입문,거래,7780,"높음",2334
"키링만들기",입문,상업,7680,"높음",2304
"도자기",입문,정보,7640,"높음",2292
"팔찌만들기",입문,상업,3650,"중간",2190
"돌선물",선물,정보,7300,"높음",2190
"드라이플라워",입문,정보,7160,"높음",2148
"정년퇴직선물",선물,정보,6940,"높음",2082
"레진아트",입문,정보,6870,"높음",2061
"엄마생일선물",선물,정보,6760,"높음",2028
"환갑선물",선물,정보,6720,"높음",2016
"비즈팔찌만들기",입문,상업,6690,"높음",2007
"비즈공예",입문,정보,6590,"높음",1977
"비누만들기",입문,상업,3290,"중간",1974
"디폼블럭도안",입문,상업,6530,"높음",1959
"돌잔치선물",선물,정보,6460,"높음",1938
"홍대반지공방",입문,거래,6390,"높음",1917
"서울데이트코스",커플,정보,6350,"높음",1905
"만들기키트",입문,상업,3170,"중간",1902
"프리저브드플라워",입문,정보,6320,"높음",1896
"취미추천",입문,정보,6320,"높음",1896
"임신선물",선물,정보,6300,"높음",1890
"생일선물추천",선물,정보,6270,"높음",1881
"석고방향제",입문,정보,6250,"높음",1875
"비오는날데이트",커플,정보,6250,"높음",1875
"아빠생일선물",선물,정보,6180,"높음",1854
"왁스실",입문,정보,3030,"중간",1818
"칠순선물",선물,정보,6010,"높음",1803
"실리콘몰드",입문,상업,2990,"중간",1794
"결혼선물",선물,정보,5930,"높음",1779
"부산실내데이트",커플,정보,5830,"높음",1749
"퇴직선물",선물,정보,5760,"높음",1728
"엑셀표만들기",입문,상업,5720,"높음",1716
"목걸이팬던트",입문,정보,5630,"높음",1689
"키링부자재",입문,상업,5600,"높음",1680
"부모님생신선물",선물,정보,5440,"높음",1632
"성수데이트",커플,정보,5440,"높음",1632
"미니어처",입문,정보,5200,"높음",1560
"수원데이트",커플,거래,5150,"높음",1545
"마크라메",입문,정보,5000,"높음",1500
"서울원데이클래스",입문,거래,4900,"높음",1470
"홍대향수공방",입문,거래,2450,"중간",1470
"선물세트",선물,정보,4860,"높음",1458
"가죽공예",입문,정보,4830,"높음",1449
"그림액자",입문,정보,4760,"높음",1428
"DIY키트",입문,상업,4720,"높음",1416
"신혼부부선물",선물,정보,4710,"높음",1413
"라탄공예",입문,정보,2260,"중간",1356
"차량디퓨저",입문,정보,2230,"중간",1338
"실버볼목걸이",입문,정보,2230,"중간",1338
"남편생일선물",선물,정보,4440,"높음",1332
"브런치만들기",입문,상업,2220,"중간",1332
"도자기체험",입문,거래,4300,"높음",1290
"자개공예",입문,정보,4280,"높음",1284
"캘리",입문,정보,4140,"높음",1242
"1주년선물",선물,정보,4130,"높음",1239
"서킷트레이닝",입문,정보,4130,"높음",1239
"대용량디퓨저",입문,정보,2060,"중간",1236
"부모님선물",선물,정보,4080,"높음",1224
"할머니생신선물",선물,정보,4010,"높음",1203
"잠실데이트",커플,정보,4010,"높음",1203
"30대여자선물",선물,정보,4000,"높음",1200
"테라리움키트",입문,상업,3900,"높음",1170
"소고기선물세트",선물,정보,3860,"높음",1158
"제주도체험",입문,거래,3840,"높음",1152
"가죽",입문,정보,3730,"높음",1119
"클레이만들기",입문,상업,3700,"높음",1110
"초등학생선물",선물,정보,3670,"높음",1101
"가죽가방끈",입문,정보,1830,"중간",1098
"몰드용실리콘",입문,상업,1830,"중간",1098
"가죽시계줄",입문,정보,3640,"높음",1092
"남자생일선물",선물,정보,3610,"높음",1083
"가죽필통",입문,정보,1800,"중간",1080
"친구결혼선물",선물,정보,3510,"높음",1053
"천연비누",입문,정보,3470,"높음",1041
"비즈키링",입문,정보,3460,"높음",1038
"시어머니생신선물",선물,정보,3440,"높음",1032
"차량용석고방향제",입문,정보,1720,"중간",1032
"공예",입문,정보,3430,"높음",1029
"남자친구100일선물",커플,정보,3410,"높음",1023
"나파가죽",입문,정보,3390,"높음",1017
"DIY명화그리기",입문,상업,3390,"높음",1017
"펄러비즈",입문,정보,3390,"높음",1017
"공방데이트",커플,거래,3310,"높음",993
"50대여자선물",선물,정보,3290,"높음",987
"원석비즈",입문,정보,3280,"높음",984
"우드볼",입문,정보,1640,"중간",984
"데이트추천",커플,정보,3260,"높음",978
"자동차디퓨저",입문,정보,1610,"중간",966
"도예",입문,정보,3210,"높음",963
"캘리그라피문구",입문,정보,3210,"높음",963
"석고",입문,정보,3210,"높음",963
"복음팔찌",입문,정보,1570,"중간",942
"나무반지",입문,정보,1560,"중간",936
"백드롭페인팅",입문,정보,3100,"높음",930
"어린이체험",학부모,거래,3080,"높음",924
"우드윅",입문,정보,1540,"중간",924
"고급디퓨저",입문,정보,1510,"중간",906
"출산선물추천",선물,정보,2960,"높음",888
"여자친구선물",선물,정보,2940,"높음",882
"비즈구슬",입문,정보,2930,"높음",879
"60대여성선물",선물,정보,2920,"높음",876
"민화도안",입문,상업,2910,"높음",873
"서울체험",입문,거래,1450,"중간",870
"이니셜키링",입문,정보,2880,"높음",864
"마크라메실",입문,정보,2860,"높음",858
"선물하기",선물,정보,2830,"높음",849
"개업축하선물",선물,정보,2810,"높음",843
"라이브클래스",입문,거래,2810,"높음",843
"모루인형만들기",입문,상업,2790,"높음",837
"서울향수공방",입문,거래,2780,"높음",834
"디퓨저스틱",입문,정보,1370,"중간",822
"부산원데이클래스",입문,거래,2720,"높음",816
"분당쿠킹클래스",입문,거래,2715,"높음",815
"30대여자친구생일선물",선물,정보,2660,"높음",798
"친구���들이선물",선물,정보,2660,"높음",798
"할머니선물",선물,정보,2630,"높음",789
"30대남자친구생일선물",선물,정보,2620,"높음",786
"쿤달디퓨저",입문,정보,2620,"높음",786
"우정반지",입문,정보,2600,"높음",780
"캘리그라피글씨체",입문,정보,2580,"높음",774
"신혼부부집들이선물",선물,정보,2570,"높음",771
"뜨개도안",입문,상업,2560,"높음",768
"비즈목걸이만들기",입문,상업,2560,"높음",768
"UV레진",입문,정보,2550,"높음",765
"매듭팔찌만들기",입문,상업,2550,"높음",765
"엑셀그래프만들기",입문,상업,2540,"높음",762
"유리공예",입문,정보,2500,"높음",750
"향수쇼핑몰",입문,정보,2500,"높음",750
"향초캔들",입문,정보,1250,"중간",750
"가죽지갑",입문,정보,2500,"높음",750
"반지만들기",입문,상업,2490,"높음",747
"반지케이스",입문,정보,2480,"높음",744
"가죽스트랩",입문,정보,2480,"높음",744
"양재동꽃시장디퓨저",입문,정보,1220,"중간",732
"밤쉘디퓨저",입문,정보,1220,"중간",732
"20대남자생일선물",선물,정보,2420,"높음",726
"비즈메카이지",입문,정보,1210,"중간",726
"다이소레진",입문,정보,1200,"중간",720
"새차선물",선물,정보,2380,"높음",714
"어머니생신선물",선물,정보,2350,"높음",705
"비즈반지",입문,정보,2340,"높음",702
"서울공방",입문,거래,2330,"높음",699
"실팔찌만들기",입문,상업,2330,"높음",699
"대구원데이클래스",입문,거래,2320,"높음",696
"이천도자기체험",입문,거래,2310,"높음",693
"주말데이트",커플,정보,2290,"높음",687
"광안리데이트",커플,정보,2290,"높음",687
"팔찌제작",입문,정보,2290,"높음",687
"서울도자기공방",입문,거래,2280,"높음",684
"50대엄마생신선물",선물,정보,2260,"높음",678
"카페개업선물",선물,정보,2250,"높음",675
"디퓨저추천",입문,정보,2250,"높음",675
"꽃꽂이클래스",입문,거래,2250,"높음",675
"홍대공방",입문,거래,2230,"높음",669
"승진축하선물",선물,정보,2220,"높음",666
"체험학습",학부모,거래,2170,"높음",651
"비즈재료",입문,상업,2140,"높음",642
"미니어처만들기",입문,상업,2110,"높음",633
"서울이색체험",입문,거래,2100,"높음",630
"부산체험",입문,거래,2080,"높음",624
"전자디퓨저",입문,정보,2070,"높음",621
"양키캔들차량용방향제",입문,정보,1030,"중간",618
"오팔반지",입문,정보,2060,"높음",618
"서울어린이체험",학부모,거래,2030,"높음",609
"퇴사선물추천",선물,정보,2020,"높음",606
"로고만들기",입문,상업,2020,"높음",606
"베이킹원데이클래스",입문,거래,2000,"높음",600
"부산공방",입문,거래,2000,"높음",600
"AI동영상만들기",입문,상업,1980,"높음",594
"정년퇴직선물추천",선물,정보,1950,"높음",585
"가방만들기",입문,상업,1950,"높음",585
"대구공방",입문,거래,1940,"높음",582
"향수만들기",입문,상업,1940,"높음",582
"비즈몰",입문,정보,1930,"높음",579
"50대아빠생일선물",선물,정보,1930,"높음",579
"한지공예",입문,정보,1920,"높음",576
"결혼축하선물",선물,정보,1920,"높음",576
"부산도자기공방",입문,거래,1920,"높음",576
"매듭공예",입문,정보,1910,"높음",573
"화장실디퓨저",입문,정보,1910,"높음",573
"대전원데이클래스",입문,거래,1900,"높음",570
"부산이색데이트",커플,정보,1900,"높음",570
"화분선물",선물,정보,1890,"높음",567
"단체선물",선물,정보,1880,"높음",564
